DBH_in,HeighttoTop_ft,Species,CanopyWidth_ft,MostSignificantDefect,Failure_Standardized,ProbabilityofFailure
0.5,6,Crapemyrtle,8,Poor Tree Architecture,none,1
0.5,6.5,Crapemyrtle,7,Poor Tree Architecture,none,1
16.4,50,Live oak,35,Weak Branch Union,none,2
24.8,32.5,Laurel Oak,54,Decay,none,3
12.7,25.5,Live oak,26,Dead,none,3
17.1,33.5,Live oak,43,Decay,none,3
4.9,23,Live oak,13,"",none,1
1.2,10,Crapemyrtle,9,Weak Branch Union,none,1
4.5,17.5,Live oak,17,Poor Tree Architecture,none,1
30.6,47.5,Camphor Tree,57,Decay,none,2
12.3,29,Live oak,29,Poor Tree Architecture,none,1
21.1,43,Live oak,37,Dead,none,3
12.8,43.5,Live oak,37,Weak Branch Union,none,1
12.4,31.5,Live oak,27,Weak Branch Union,none,3
25.2,57,Laurel Oak,39,Decay,none,4
2,10,Crapemyrtle,10,"",none,1
6.3,15,Camphor Tree,19,"",none,1
2.8,14,baldcypress,9,"",none,1
3.7,18,Live oak,12,Leaning Tree,none,1
1,10,Yew Podocarpus,6,Poor Tree Architecture,none,1
4.4,25.5,Crapemyrtle,26,Weak Branch Union,whole,1
33.5,42,Laurel Oak,48,Weak Branch Union,branch,3
18,33.5,Camphor Tree,26,Weak Branch Union,branch,2
18.9,40.5,Laurel Oak,39,Decay,branch,4
21.4,51.5,Live oak,43,Weak Branch Union,branch,1
22.6,56.5,Laurel Oak,41,Weak Branch Union,branch,2
8.8,30,Live oak,28,Leaning Tree,branch,1
8.9,21.5,Live oak,29,Root Problems,whole,2
21,65.5,Live oak,39,Poor Tree Architecture,branch,1
13.5,41.5,Laurel Oak,34,Dead,branch,3
13.1,57.5,Live oak,27,Weak Branch Union,branch,2
10,29.5,Live oak,34,Leaning Tree,whole,2
1.8,10.5,Crapemyrtle,11,Poor Tree Architecture,whole,2
15.3,50,Laurel Oak,22,Decay,whole,4
23.6,48.5,Camphor Tree,50,Dead,branch,3
31,58.5,Live oak,58,Dead,branch,3
25.3,61,Live oak,56,"",branch,3
42.5,37.5,Camphor Tree,66,Decay,branch,2
6.8,26,Chinese elm,24,Weak Branch Union,branch,2
22.1,37.5,Live oak,54,Weak Branch Union,branch,1
17.8,38,Laurel Oak,34,Decay,whole,2
27.4,57,Live oak,79,Dead,branch,3
21.3,44.5,Live oak,39,Weak Branch Union,branch,1
19.2,36,Laurel Oak,42,Dead,branch,4
22.5,41.5,Laurel Oak,51,Weak Branch Union,branch,1
18.4,36.5,Live oak,40,Weak Branch Union,none,1
2.5,10,Yew Podocarpus,8,Poor Tree Architecture,none,1
1,10,Yew Podocarpus,6,Poor Tree Architecture,none,1
21.8,49.5,Laurel Oak,49,Weak Branch Union,none,2
13.4,36,Live oak,40,Weak Branch Union,none,1
18.7,43.5,Live oak,32,Weak Branch Union,none,1
1.5,10,Yew Podocarpus,6,Poor Tree Architecture,none,1
1,10,Yew Podocarpus,6,Poor Tree Architecture,none,1
2.7,16.5,baldcypress,8,"",none,1
18.8,45,Live oak,30,Weak Branch Union,none,2
32.6,46.5,Live oak,61,Dead,none,3
0.5,6,Crapemyrtle,9,Poor Tree Architecture,none,1
19,41.5,Live oak,50,Root Problems,none,1
6.9,18,Live oak,23,Leaning Tree,none,1
1,10,Yew Podocarpus,7,Poor Tree Architecture,none,1
16.2,29,Camphor Tree,31,Weak Branch Union,none,1
6,28,Crapemyrtle,38,Weak Branch Union,none,1
12.1,27.5,Camphor Tree,19,Decay,none,2
1,10,Yew Podocarpus,6,Poor Tree Architecture,none,1
17.1,44,Live oak,30,Weak Branch Union,none,2
4.7,22.5,Live oak,14,Weak Branch Union,none,1
19.3,40,Live oak,52,Root Problems,none,1
22.8,46.5,Live oak,45,Dead,none,3
8.5,32.5,Crapemyrtle,33,Weak Branch Union,none,1
19,41,Camphor Tree,28,Decay,none,4
9.8,30.5,Live oak,27,Weak Branch Union,none,1
9.3,29.5,Live oak,24,Weak Branch Union,none,1
3.1,9,Crapemyrtle,10,Poor Tree Architecture,none,2
2,11,Crapemyrtle,8,Weak Branch Union,none,1
4.4,19,Live oak,15,Weak Branch Union,none,1
13.1,24.5,Live oak,25,Poor Tree Architecture,none,2
2.8,16,Live oak,9,"",none,3
21.5,38,Camphor Tree,44,Dead,none,3
25.5,52.5,Live oak,59,Weak Branch Union,none,1
1.5,12,Yew Podocarpus,7,Poor Tree Architecture,none,1
2,13,Yew Podocarpus,7,Poor Tree Architecture,none,1
1,11,Yew Podocarpus,7,Poor Tree Architecture,none,1
1.5,13,Yew Podocarpus,8,Poor Tree Architecture,none,1
9.8,36.5,Live oak,19,Leaning Tree,none,1
2,11.5,Crapemyrtle,10,Weak Branch Union,none,1
3.6,21,Live oak,12,Weak Branch Union,none,1
2,15,Yew Podocarpus,7,Poor Tree Architecture,none,1
1,12,Yew Podocarpus,7,Poor Tree Architecture,none,1
13,29,Live oak,39,Dead,none,3
2.6,10.5,baldcypress,9,"",none,1
20.3,39,Laurel Oak,46,Decay,none,3
11.4,50.5,Live oak,21,Weak Branch Union,none,1
21.9,51.5,Laurel Oak,35,Weak Branch Union,none,2
13.9,45.5,Live oak,35,Dead,none,3
14.2,37,Camphor Tree,29,"",none,2
14.4,35.5,Camphor Tree,22,Decay,none,1
2,15,Yew Podocarpus,7,Poor Tree Architecture,none,1
1,9,red maple,5,"",none,1
6.6,22,Crapemyrtle,15,Dead,none,3
7.6,22.5,Camphor Tree,25,Weak Branch Union,none,1
14.3,50.5,baldcypress,21,Weak Branch Union,none,1
5.8,17,Live oak,17,Dead,none,3
1.1,8,red maple,6,"",none,1
13,32,Live oak,37,Weak Branch Union,none,2
4.1,21.5,American elm,15,Poor Tree Architecture,none,2
1.5,15,Yew Podocarpus,6,Poor Tree Architecture,none,1
27.2,44,Camphor Tree,45,Decay,none,2
18.1,53.5,Laurel Oak,37,Dead,none,3
21.2,47,Live oak,52,Poor Tree Architecture,none,1
5.7,19.5,Live oak,17,"",none,1
5.1,21.5,Live oak,15,Weak Branch Union,none,1
3.9,16.5,Live oak,11,Weak Branch Union,none,2
23.5,40.5,Laurel Oak,32,Weak Branch Union,none,2
2,12,Yew Podocarpus,7,Poor Tree Architecture,none,1
1.2,7.5,Crapemyrtle,8,"",none,1
3.8,13.5,Camphor Tree,9,Dead,none,3
17.4,32.5,Live oak,36,Weak Branch Union,none,3
2,8,Crapemyrtle,7,Weak Branch Union,none,1
1.5,11,Yew Podocarpus,7,Poor Tree Architecture,none,1
5,18,Chinese elm,20,Weak Branch Union,none,1
20,27,Live oak,49,Dead,none,3
4.5,20.5,Crapemyrtle,23,Weak Branch Union,none,1
1.5,12,Yew Podocarpus,7,Poor Tree Architecture,none,1
2,12,Yew Podocarpus,6,Poor Tree Architecture,none,1
14,35.5,Live oak,36,Poor Tree Architecture,none,1
19.3,46,Live oak,48,Dead,none,3
17.7,33.5,Laurel Oak,37,Decay,none,3
6,22.5,water oak,14,Weak Branch Union,none,2
21.3,58.5,Live oak,28,Weak Branch Union,none,2
18,48.5,Live oak,35,Dead,none,3
2.5,13,Arborvitae,12,Dead,none,3
16.1,37.5,Live oak,37,Weak Branch Union,none,1
1.1,8.5,Crapemyrtle,12,Poor Tree Architecture,none,1
4.6,22.5,Crapemyrtle,23,Weak Branch Union,none,1
24.5,48.5,Camphor Tree,37,Dead,none,3
15.9,29,Live oak,49,Leaning Tree,none,1
4.2,12.5,Live oak,15,Weak Branch Union,none,1
0.8,5.5,Crapemyrtle,,Weak Branch Union,none,1
22.6,53.5,Laurel Oak,45,Weak Branch Union,none,1
3.2,16,Crapemyrtle,23,Weak Branch Union,none,1
6,19,Live oak,15,Weak Branch Union,none,1
3.5,19,Crapemyrtle,20,Weak Branch Union,none,1
10.2,23.5,Camphor Tree,17,Poor Tree Architecture,none,2
0.8,6,Crapemyrtle,7,Poor Tree Architecture,none,1
12,44.5,Laurel Oak,20,Decay,none,3
13.4,40.5,Live oak,30,Leaning Tree,none,1
4.5,22,Live oak,17,Weak Branch Union,none,1
3.5,15.5,baldcypress,10,"",none,1
19.5,31.5,Live oak,28,Dead,none,3
14.8,22.5,Camphor Tree,21,Dead,none,3
3.7,15.5,Live oak,13,Poor Tree Architecture,none,1
14.2,44.5,Live oak,29,Weak Branch Union,none,2
2.8,15,Laurel Oak,10,Weak Branch Union,none,1
2.8,15,Crapemyrtle,16,Dead,none,3
4.7,21,water oak,17,Weak Branch Union,none,2
16.1,34.5,Live oak,29,Leaning Tree,none,1
2.6,10.5,Arborvitae,15,Dead,none,3
4.2,16.5,Crapemyrtle,19,Weak Branch Union,none,1
3.2,16.5,Crapemyrtle,18,Weak Branch Union,none,1
4.3,18,Crapemyrtle,18,Weak Branch Union,none,1
22.8,41.5,Live oak,55,Weak Branch Union,none,1
30.1,57,Live oak,73,Dead,none,3
17.5,43.5,Live oak,49,Dead,none,3
3.6,18,Live oak,14,Weak Branch Union,none,1
22.1,47.5,Live oak,58,Dead,none,3
3.6,18.5,Live oak,13,Weak Branch Union,none,1
33.2,69,Laurel Oak,62,Dead,none,3
4.3,18.5,Crapemyrtle,21,Weak Branch Union,none,1
4.5,20.5,Live oak,11,Weak Branch Union,none,1
25.3,53,Live oak,48,Weak Branch Union,none,1
4.6,20,Chinese elm,19,Leaning Tree,none,2
4,16,Live oak,17,Poor Tree Architecture,none,1
0.8,6,Crapemyrtle,9,Weak Branch Union,none,1
5,18.5,Live oak,15,Poor Tree Architecture,none,1
6.2,20.5,Live oak,26,Root Problems,none,1
18.2,49,Live oak,44,Weak Branch Union,none,1
9.3,13.5,Live oak,16,Dead,none,3
20.8,45,Live oak,54,Weak Branch Union,none,2
4.8,22,water oak,20,Dead,none,3
0.2,6.5,Laurel Oak,4,"",none,1
39,64.5,Live oak,60,Dead,none,3
28.2,44.5,Live oak,48,Decay,none,2
3.7,22.5,Live oak,14,"",none,1
20.6,40.5,Live oak,42,Weak Branch Union,none,1
14.3,31.5,Laurel Oak,31,Root Problems,none,2
4,17.5,Live oak,12,Weak Branch Union,none,1
16.8,47,Live oak,34,Dead,none,3
8.9,36,Live oak,23,"",none,1
3.6,21,Live oak,13,Weak Branch Union,none,1
4.6,24.5,Live oak,11,Weak Branch Union,none,1
5,25,Live oak,15,Weak Branch Union,none,1
12,39.5,Live oak,37,Weak Branch Union,none,2
17.5,45.5,slash pine,28,Poor Tree Architecture,branch,1
27.4,45,Laurel Oak,46,Decay,whole,2
26,30,Laurel Oak,29,Decay,whole,3
37.5,52,sand live oak,70,Dead,branch,3
33.7,46.5,Laurel Oak,43,Decay,branch,3
1,9.5,Laurel Oak,6,Root Problems,whole,2
29.5,56,Live oak,48,Weak Branch Union,branch,1
48.6,66.5,Laurel Oak,60,Decay,whole,2
30,61,Laurel Oak,36,Decay,branch,1
1,6,Orchid Tree,13,Poor Tree Architecture,none,1
39,63.3,Laurel Oak,50,Decay,branch,2
47.5,51,Laurel Oak,61,Decay,branch,4
42.5,61.5,Laurel Oak,53,Decay,branch,2
9.6,30,Camphor Tree,29,Weak Branch Union,whole,1
47.8,49.5,Live oak,75,Weak Branch Union,branch,1
27.8,58,Laurel Oak,55,Decay,branch,2
29.1,65,Southern Redcedar,43,Weak Branch Union,whole,2
3.2,17.5,Camphor Tree,22,Poor Tree Architecture,whole,2
24.2,65.5,red maple,54,Weak Branch Union,branch,1
17,35,Carolina Laurelcherry,37,Weak Branch Union,branch,2
0.8,5,Japanese Privet,6,Poor Tree Architecture,whole,1
43,70,Laurel Oak,59,Decay,whole,3
38.2,52,Laurel Oak,80,Decay,branch,3
1,4.5,Japanese Privet,5,Decay,whole,2
0.8,5,Japanese Privet,5,Weak Branch Union,whole,1
63.3,67,Laurel Oak,72,Decay,branch,3
19.7,54.5,red maple,47,Decay,branch,3
15.5,62,Laurel Oak,38,Root Problems,branch,1
31.6,58.5,Live oak,83,Weak Branch Union,branch,1
2.8,15,Japanese Privet,22,Decay,branch,3
33.2,43,Laurel Oak,61,Decay,branch,4
4.9,25,American Elm,26,Weak Branch Union,none,1
23.7,43,Live oak,62,Weak Branch Union,none,1
29.5,54,Live oak,40,Weak Branch Union,none,2
2.5,19,Southern Redcedar,11,Poor Tree Architecture,none,1
11.8,42,Live oak,45,Weak Branch Union,none,1
24,37,Camphor Tree,63,Dead,none,3
16,42.5,slash pine,26,Leaning Tree,none,1
58,65.5,Live oak,95,Dead,none,3
0.8,10,Crapemyrtle,11,Poor Tree Architecture,none,1
0.8,9.5,Crapemyrtle,10,Poor Tree Architecture,none,1
0.5,4,Crapemyrtle,6,Poor Tree Architecture,none,1
36,60,Laurel Oak,44,Decay,none,2
0.8,7.5,Crapemyrtle,8,Poor Tree Architecture,none,1
1,8.5,Crapemyrtle,7,Weak Branch Union,none,1
22,34,Live oak,37,Weak Branch Union,none,1
28.5,60,Live oak,52,Decay,none,1
5,19.5,Carolina Laurelcherry,32,Decay,none,2
27,37,Live oak,40,Decay,none,1
40,52,Live oak,66,Weak Branch Union,none,1
1.5,11,Laurel Oak,9,"",none,1
28.2,60.5,Live oak,50,Decay,none,3
20,53,Southern Redcedar,21,Poor Tree Architecture,none,1
24.1,51,Live oak,34,Decay,none,3
5.1,29.5,slash pine,12,"",none,1
13.4,27,Laurel Oak,32,Decay,none,3
1,6,surinam Cherry,6,Poor Tree Architecture,none,1
1.5,10,Live oak,7,"",none,1
1.2,4,Camphor Tree,6,Weak Branch Union,none,1
14.2,31,American Elm,30,Decay,none,3
15.4,43.5,Southern Redcedar,13,Poor Tree Architecture,none,2
1,7,Carolina Laurelcherry,4,Poor Tree Architecture,none,1
2,13,Crapemyrtle,12,Poor Tree Architecture,none,1
2,13,Crapemyrtle,12,Poor Tree Architecture,none,1
17,46,Southern Redcedar,22,Weak Branch Union,none,1
38,57,Laurel Oak,48,Weak Branch Union,none,2
11.2,31,American Elm,34,Dead,none,3
1.8,9,Weeping Bottlebrush,9,Poor Tree Architecture,none,1
1.8,9,Weeping Bottlebrush,11,Poor Tree Architecture,none,1
1.5,7,Orchid Tree,13,Poor Tree Architecture,none,1
40,54.5,Live oak,54,"",none,3
2,16,Crapemyrtle,15,Poor Tree Architecture,none,1
8.6,29,southern magnolia,25,Leaning Tree,none,2
1,8,red maple,9,Weak Branch Union,none,1
1.5,8.5,Weeping Bottlebrush,8,Poor Tree Architecture,none,1
1.5,9,Weeping Bottlebrush,11,Poor Tree Architecture,none,1
11.5,53.5,slash pine,20,Dead,none,3
0.5,7,Carolina Laurelcherry,6,Poor Tree Architecture,none,1
22,52.5,slash pine,35,Dead,none,3
11,35,Carolina Laurelcherry,27,Poor Tree Architecture,none,2
1,9,Carolina Laurelcherry,7,"",none,1
0.5,7.5,Carolina Laurelcherry,6,"",none,1
1.2,9,Carolina Laurelcherry,8,"",none,1
0.8,7,Carolina Laurelcherry,6,"",none,1
1,7,Carolina Laurelcherry,6,"",none,1
14.1,35,Laurel Oak,31,Decay,none,2
0.5,7.5,Carolina Laurelcherry,7,"",none,1
5,24,Norfolk Island Pine,10,"",none,1
5.7,20.5,Crapemyrtle,15,Poor Tree Architecture,none,1
0.5,8,Carolina Laurelcherry,6,"",none,1
23.5,49.5,Laurel Oak,39,Decay,none,3
19.2,51,Southern Redcedar,21,Weak Branch Union,none,1
1,9,Crapemyrtle,10,Poor Tree Architecture,none,
7.8,21.5,Live oak,17,Poor Tree Architecture,none,2
1.5,10.5,red maple,8,"",none,1
11.7,26.5,slash pine,24,Poor Tree Architecture,none,2
3.2,13,Crapemyrtle,15,Poor Tree Architecture,none,1
12.5,30.5,slash pine,18,Poor Tree Architecture,none,2
3.3,19,Crapemyrtle,23,Decay,none,2
20,50,Laurel Oak,46,Decay,none,2
8,23,red maple,18,Weak Branch Union,none,1
25,29.5,Camphor Tree,40,Weak Branch Union,none,1
1.8,13,Live oak,10,Poor Tree Architecture,none,1
54,63,Live oak,74,Decay,none,2
1,6.5,Weeping Bottlebrush,7,Poor Tree Architecture,none,1
35.8,58.5,sand live oak,105,Weak Branch Union,none,2
1,7.5,Weeping Bottlebrush,8,Poor Tree Architecture,none,1
0.5,12,Carolina Laurelcherry,7,"",none,1
2.5,17.5,Laurel Oak,12,Poor Tree Architecture,none,1
1,15,Carolina Laurelcherry,7,Poor Tree Architecture,none,1
1.5,16.5,Carolina Laurelcherry,12,Poor Tree Architecture,none,1
2,21.5,Carolina Laurelcherry,11,Poor Tree Architecture,none,1
5,20.5,Arborvitae,24,Weak Branch Union,none,1
1.3,7,Japanese Privet,6,Decay,none,2
1.7,9.5,Carolina Laurelcherry,15,Poor Tree Architecture,none,1
1.6,10,Crapemyrtle,8,Poor Tree Architecture,none,1
1.2,6.5,Japanese Privet,8,"",none,2
1,11.5,Carolina Laurelcherry,11,"",none,1
4.5,24,Norfolk Island Pine,15,Poor Tree Architecture,none,1
1.3,12,Laurel Oak,11,"",none,1
2.3,20.5,Laurel Oak,13,Poor Tree Architecture,none,1
7.6,30.5,Laurel Oak,17,Poor Tree Architecture,none,1
25.8,59.5,Live oak,70,Poor Tree Architecture,branch,1
39.5,67.5,Laurel Oak,72,Decay,branch,3
36,66.5,Laurel Oak,61,Weak Branch Union,branch,2
4,19.5,Carolina Laurelcherry,21,Poor Tree Architecture,whole,1
19.4,39.5,Live oak,67,Weak Branch Union,branch,2
37.1,61,Live oak,89,Dead,branch,4
1.8,9.5,Weeping Bottlebrush,8,Poor Tree Architecture,none,1
29.6,64.5,Laurel Oak,47,Weak Branch Union,branch,2
29.9,47,Laurel Oak,34,Decay,branch,3
49.8,54.5,Live oak,83,Weak Branch Union,branch,1
43,62,Laurel Oak,59,Decay,branch,3
16.8,51,Laurel Oak,36,Weak Branch Union,branch,1
24.4,67.5,Laurel Oak,36,Decay,branch,2
11.7,53.5,Carolina Laurelcherry,35,Leaning Tree,branch,2
2,9,Japanese Privet,17,Poor Tree Architecture,whole,1
41.1,53.5,Laurel Oak,59,Decay,branch,2
33,62,Laurel Oak,42,Weak Branch Union,branch,2
38,47,Laurel Oak,42,Dead,whole,3
2.2,7,Japanese Privet,11,Poor Tree Architecture,whole,1
32.5,41,Live oak,61,Weak Branch Union,branch,2
46.5,57.5,sand live oak,72,Weak Branch Union,branch,1
63.5,70,Laurel Oak,86,Decay,branch,2
0.1,4,Carolina Laurelcherry,4,"",whole,1
0.2,4,Carolina Laurelcherry,4,Poor Tree Architecture,whole,1
35.5,54,Laurel Oak,51,Decay,branch,3
42.4,57.5,Live oak,67,Dead,branch,3
41,52.5,Laurel Oak,70,Weak Branch Union,branch,2
21.1,60,Live oak,49,Weak Branch Union,branch,1
33.2,59,Live oak,67,Decay,branch,3
27.1,54.5,Laurel Oak,69,Weak Branch Union,branch,2
30,47.5,Laurel Oak,63,Weak Branch Union,branch,2
1.7,10.5,Crapemyrtle,13,Poor Tree Architecture,whole,1
22.7,27,Carolina Laurelcherry,44,Decay,branch,3
0.1,4.5,Yew Podocarpus,4,"",whole,1
24.2,63,Live oak,37,Decay,branch,2
27.1,68,Live oak,54,"",branch,2
19.8,56,Live oak,50,Decay,branch,3
38.3,37.5,Live oak,72,Decay,branch,3
24.1,39,Laurel Oak,48,Dead,branch,3
22.5,48,Live oak,63,Dead,branch,3
27.5,68,Live oak,66,Dead,branch,2
29.4,66,Live oak,68,Dead,branch,2
10.5,27,Live oak,17,Dead,branch,3
44,62,Live oak,85,Weak Branch Union,branch,2
36.6,32.5,Laurel Oak,70,Decay,branch,3
35,39.5,Laurel Oak,66,Decay,branch,3
0.5,5.5,Flamegold,8,Poor Tree Architecture,whole,1
18.5,48.5,Laurel Oak,53,Poor Tree Architecture,branch,2
1.5,7.5,Oleander,9,Poor Tree Architecture,branch,1
41.6,61.5,Live oak,89,Weak Branch Union,branch,1
40,42,Live oak,90,Decay,branch,3
20.9,48,Live oak,52,Decay,branch,2
16.7,65,Live oak,40,Dead,branch,3
23.2,38,Live oak,54,Dead,branch,2
31.5,45,Laurel Oak,55,Decay,branch,4
39.3,65.5,Live oak,40,Dead,branch,3
14.1,60,Live oak,36.1,"",branch,2
32,55,Live oak,64,Poor Tree Architecture,none,1
3.9,20.5,Crapemyrtle,22,Poor Tree Architecture,none,1
3,27,Laurel Oak,13,Poor Tree Architecture,none,1
2.3,32.5,Laurel Oak,15,Poor Tree Architecture,none,1
1,17,Laurel Oak,12,Poor Tree Architecture,none,1
1.8,25,Laurel Oak,14,Poor Tree Architecture,none,1
0.5,7.5,Flamegold,8,Poor Tree Architecture,none,2
1.8,15,Laurel Oak,12,Poor Tree Architecture,none,1
3,23,Crapemyrtle,13,Poor Tree Architecture,none,1
11.5,33,Laurel Oak,15,Poor Tree Architecture,none,2
2,25,Laurel Oak,14,Poor Tree Architecture,none,1
1.8,12,baldcypress,10,"",none,1
2.3,23,Laurel Oak,12,Poor Tree Architecture,none,1
1.6,10,Crapemyrtle,10,Poor Tree Architecture,none,1
6.3,33.5,Laurel Oak,24,Poor Tree Architecture,none,2
2,12,baldcypress,10,"",none,1
2.5,34.5,Laurel Oak,11,Poor Tree Architecture,none,1
2.6,29,Laurel Oak,13,Poor Tree Architecture,none,1
1.5,9.5,Crapemyrtle,12,Poor Tree Architecture,none,1
1.9,17,Carolina Laurelcherry,15,"",none,1
1.5,9.5,Crapemyrtle,10,Poor Tree Architecture,none,1
2,5.5,Yew Podocarpus,5,Poor Tree Architecture,none,2
1,14.5,Crapemyrtle,22,Poor Tree Architecture,none,1
1.9,15,Carolina Laurelcherry,15,Leaning Tree,none,1
1.5,9,Crapemyrtle,10,Poor Tree Architecture,none,1
4,22,slash pine,14,"",none,1
1.4,9.5,Crapemyrtle,11,Poor Tree Architecture,none,1
1,4.5,Japanese Privet,6,Decay,none,3
30.7,54,Live oak,71,Decay,none,2
1.5,4.5,Japanese Privet,6,Decay,none,3
17.9,48,Laurel Oak,33,Weak Branch Union,none,2
0.1,5.5,Live oak,5,"",none,1
5.3,20,Yew Podocarpus,19,Poor Tree Architecture,none,1
4.7,34,Laurel Oak,18,Weak Branch Union,none,1
9,35,Live oak,19,Poor Tree Architecture,none,2
1.3,10.5,Crapemyrtle,11,Poor Tree Architecture,none,1
1.3,10,Crapemyrtle,10,Poor Tree Architecture,none,1
1.8,10,Weeping Bottlebrush,8,Poor Tree Architecture,none,1
3,17.5,Crapemyrtle,14,Poor Tree Architecture,none,1
3,17,Crapemyrtle,15,Poor Tree Architecture,none,1
2.2,11,Arborvitae,14,"",none,1
28,75,Live oak,44,Weak Branch Union,none,2
33.9,48.5,Live oak,58,Dead,none,3
1.6,13.5,Oleander,11,Poor Tree Architecture,none,1
1.3,11,Oleander,10,Weak Branch Union,none,1
1.2,8,Norfolk Island Pine,9,"",none,1
0.8,6.5,Norfolk Island Pine,9,"",none,1
3,16.5,Live oak,15,Weak Branch Union,none,1
3.5,20,Live oak,14,Weak Branch Union,none,1
28.3,69,Live oak,45,Poor Tree Architecture,none,1
15,49.5,Laurel Oak,31,Weak Branch Union,none,1
15.7,53.5,Carolina Laurelcherry,41,Weak Branch Union,none,2
23.1,49.5,Laurel Oak,42,Weak Branch Union,none,2
33.2,51.5,Live oak,88,Dead,none,3
50.2,59.5,Live oak,91,Dead,none,3
6.5,36.5,Camphor Tree,3,"",none,1
22.4,39,Camphor Tree,27,Weak Branch Union,none,1
42.8,43,sand live oak,85,Weak Branch Union,none,2
5.7,18.5,Laurel Oak,19,Weak Branch Union,none,2
5.7,26.5,Camphor Tree,7,Leaning Tree,none,1
0.2,7,Crapemyrtle,10,Poor Tree Architecture,none,1
1.5,4.5,Japanese Privet,5,Poor Tree Architecture,none,1
1.5,9,Oleander,8,Poor Tree Architecture,none,1
1.5,7.5,Weeping Bottlebrush,5,Weak Branch Union,none,1
22.5,48,Laurel Oak,54,Weak Branch Union,none,2
1.5,9.5,baldcypress,8,"",none,1
2,8.5,Japanese Privet,13,Decay,none,2
1,7,Crapemyrtle,6,Poor Tree Architecture,none,1
16,34,Camphor Tree,15,"",none,1
1.5,7.5,Weeping Bottlebrush,4,Weak Branch Union,none,1
1,7.5,Crapemyrtle,6,Poor Tree Architecture,none,1
44,54,Laurel Oak,86,Decay,none,4
1.5,7,Weeping Bottlebrush,6,Weak Branch Union,none,1
12.6,23.5,Arborvitae,19,Dead,none,2
6,18,Arborvitae,17,Dead,none,2
27,45,Live oak,51,Dead,none,3
18.7,39.5,Live oak,43,Decay,none,2
10.3,23,Arborvitae,19,Dead,none,2
21.9,47,Camphor Tree,37,Decay,none,2
20.4,25,Arborvitae,27,Dead,none,2
35.6,65,Live oak,85,Dead,none,3
5,20,Arborvitae,12,Dead,none,2
40.1,50.5,Live oak,70,Dead,none,2
1,7.5,Weeping Bottlebrush,5,Poor Tree Architecture,none,1
16.9,26.5,Arborvitae,25,Decay,none,2
8.5,17.5,Arborvitae,12,"",none,2
6.9,17.9,Arborvitae,15,"",none,2
21.5,48.5,Live oak,65,Weak Branch Union,none,1
18.9,54.5,Live oak,32,Weak Branch Union,none,2
21.8,36.5,Live oak,60,Decay,none,2
1,8,Weeping Bottlebrush,5,Poor Tree Architecture,none,1
6.6,21,baldcypress,10,"",none,1
5.2,20,baldcypress,11,"",none,1
12.4,41.5,baldcypress,17,"",none,1
8.4,20.5,baldcypress,11,"",none,1
8.7,28,baldcypress,12,"",none,1
7.7,26,baldcypress,12,"",none,1
9.1,26.5,baldcypress,12,"",none,1
1,10,Crapemyrtle,14,Poor Tree Architecture,none,1
17,49.5,baldcypress,16,"",none,1
10.8,39,baldcypress,19,"",none,1
13.6,46,baldcypress,15,"",none,1
12.9,43,baldcypress,15,"",none,1
31.2,52,Live oak,73,Dead,none,3
0.5,9.5,Crapemyrtle,8,Poor Tree Architecture,none,1
0.5,9.5,Crapemyrtle,8,Poor Tree Architecture,none,1
0.5,9,Crapemyrtle,8,Poor Tree Architecture,none,1
0.5,9,Crapemyrtle,10,Poor Tree Architecture,none,1
0.2,4.5,Crapemyrtle,7,Poor Tree Architecture,none,1
0.2,7,Crapemyrtle,11,Poor Tree Architecture,none,1
0.2,4,Crapemyrtle,4,Poor Tree Architecture,none,1
0.5,9.5,Crapemyrtle,11,Poor Tree Architecture,none,1
1,8.5,Crapemyrtle,11,Poor Tree Architecture,none,1
12.7,40,baldcypress,16,"",none,1
12,41.5,baldcypress,15,"",none,1
0.2,6,Carolina Laurelcherry,5,"",none,1
4,8,Yew Podocarpus,15,Poor Tree Architecture,none,1
20,58.5,Laurel Oak,50,Weak Branch Union,none,2
9.3,31,baldcypress,12,"",none,1
30,62.5,Live oak,75,Decay,none,3
35.9,56,Live oak,64,Dead,none,3
23,30,Live oak,45,Decay,none,2
0.8,6,Laurel Oak,7,"",none,1
10.9,38,Live oak,17,Leaning Tree,none,2
9.5,33,Orchid Tree,34,Poor Tree Architecture,none,1
23.3,38,Live oak,49,Dead,none,3
38,47,Live oak,48,Decay,none,2
16.7,20.9,Live oak,30,Leaning Tree,none,2
19.6,42.5,Laurel Oak,36,Weak Branch Union,none,2
21.6,60,southern magnolia,50,Decay,none,2
16.5,70,Live oak,29,Dead,none,3
14.8,39.5,Live oak,32,Weak Branch Union,none,1
1,7,Weeping Bottlebrush,8,Poor Tree Architecture,none,1
1,10,red maple,8,"",none,1
36,54.5,sand live oak,54,Weak Branch Union,none,1
1,8.5,Camphor Tree,13,Poor Tree Architecture,none,1
3,12.5,Crapemyrtle,13,Weak Branch Union,none,1
1,11,red maple,8,"",none,1
1,8,Crapemyrtle,9,Poor Tree Architecture,none,1
2.7,13,Crapemyrtle,13,Poor Tree Architecture,none,1
2.1,8,Crapemyrtle,12,Weak Branch Union,none,1
7.3,27,Laurel Oak,26,"",none,1
3.4,14.5,Crapemyrtle,24,Poor Tree Architecture,none,1
